web-scraper-order,web-scraper-start-url,data,image-src,name
"1761510235-1","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/6e4d0cba-6b78-47b8-8c11-dea76a64b035.jpg","קינג סטור"
"1761510235-2","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/8835ad10-0a91-4bf6-9737-5542eddb4dd9.jpg","ויקטורי"
"1761510235-3","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/580d332e-daec-4a71-8150-4e6f0fc47e52.png","שפע ברכת השם"
"1761510235-4","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/9afe0265-6a5b-423c-b46d-7f1c7d9ac340.jpg","שוק העיר"
"1761510235-5","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/d38e8bc7-cc00-4e15-b72e-bd9b46023abc.png","ניצת הדובדבן"
"1761510235-6","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/c9110a08-9d5c-4008-bbcd-8efa94caaaf1.png","שוקיט- shookit"
"1761510235-7","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/8c460390-7de9-4b34-b30f-acdb4411da3d.png","רשת אניס"
"1761510235-8","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/e8693542-4b0b-47b1-9fe4-093a8df32299.png","יום ביום"
"1761510235-9","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/2a61563f-41d5-470a-8ee1-df6299f6fd76.png","סופר ספיר"
"1761510235-10","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/bb5c0a49-fe4a-480a-871f-3f4df5c7f66b.png","טיב טעם"
"1761510235-11","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/889b0010-a091-493f-89bc-0ad0fd4430a4.png","מחסני השוק"
"1761510235-12","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/2939ba51-f643-4612-b199-4cb6087979e2.png","גוד פארם- good pharm"
"1761510235-13","https://www.behatsdaa.org.il/card/shops?walletId=2595","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/0b382df4-99ee-48e0-b03f-69689852addc.png","ויקטורי אונליין"
"1761510235-14","https://www.behatsdaa.org.il/card/shops?walletId=2595","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/aa61adef-ac43-4f97-84a0-c812f6b03261.png","סנו עד הבית אונליין"
"1761510235-15","https://www.behatsdaa.org.il/card/shops?walletId=2595","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/f11ee567-fa09-47de-b7fa-8af0a500ac99.png","קרביץ אונליין"
"1761510235-16","https://www.behatsdaa.org.il/card/shops?walletId=2595","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/aac916ed-c0a2-437b-9b39-8fc752b51d28.png","טיב טעם אונליין"
"1761510235-17","https://www.behatsdaa.org.il/card/shops?walletId=2595","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/5113c07a-1eed-4ac5-92f2-94c318d944c6.png","BEENY ONLINE"
"1761510235-18","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/7622dcf9-3d83-40b9-b20f-961f8d8bc36a.png","צמר שטיחים יפים"
"1761510235-19","https://www.behatsdaa.org.il/card/shops?walletId=2595","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/495d05cb-75b9-467b-bb3a-675c30a689e5.png","מלון פרימה הוטל 75 תל אביב"
